Date,Open,High,Low,Close,Volume
2017-01-25,2288.88,2299.55,2288.88,2298.37,2461512000
2017-01-26,2298.63,2300.99,2294.08,2296.68,2333681818
2017-01-27,2299.02,2299.02,2291.62,2294.69,925519279
2017-01-30,2286.01,2286.01,2268.04,2280.9,1034342001
2017-01-31,2274.02,2279.09,2267.21,2278.87,2555320206
2017-02-01,2285.59,2289.14,2272.44,2279.55,2478979663
2017-02-02,2276.69,2283.97,2271.65,2280.85,2321960100
2017-02-03,2288.54,2298.31,2287.88,2297.42,2208634271
2017-02-06,2294.28,2296.18,2288.57,2292.56,828798658
2017-02-07,2295.87,2299.4,2290.16,2293.08,1005424404
2017-02-08,2289.55,2295.91,2285.38,2294.67,1039738102
2017-02-09,2296.7,2311.08,2296.61,2307.87,1044822284
2017-02-10,2312.27,2319.23,2311.1,2316.1,993382797
2017-02-13,2321.72,2331.58,2321.42,2328.25,884994768
2017-02-14,2326.12,2337.58,2322.17,2337.58,2163161000
2017-02-15,2335.58,2351.3,2334.81,2349.25,2251620057
2017-02-16,2349.64,2351.31,2338.87,2347.22,1012302953
2017-02-17,2343.01,2351.16,2339.58,2351.16,1045689889
2017-02-21,2354.91,2366.71,2354.91,2365.38,1034890289
2017-02-22,2361.11,2365.13,2358.34,2362.82,880108485
2017-02-23,2367.5,2368.26,2355.09,2363.81,2200797996
2017-02-24,2355.73,2367.34,2352.87,2367.34,2190395580
2017-02-27,2365.23,2371.54,2361.87,2369.75,807561788
2017-02-28,2366.08,2367.79,2358.96,2363.64,2538169000
2017-03-01,2380.13,2400.98,2380.13,2395.96,2575918105
2017-03-02,2394.75,2394.75,2380.17,2381.92,1046806171
2017-03-03,2380.92,2383.89,2375.39,2383.12,759171544
2017-03-06,2375.23,2378.8,2367.98,2375.31,815247188
2017-03-07,2370.74,2375.12,2365.51,2368.39,839221691
2017-03-08,2369.81,2373.09,2361.01,2362.98,1011764443
2017-03-09,2363.49,2369.08,2354.54,2364.87,945423548
2017-03-10,2372.52,2376.86,2363.04,2372.6,944187975
2017-03-13,2371.56,2374.42,2368.52,2373.47,748522349
2017-03-14,2368.55,2368.55,2358.18,2365.45,611348401
2017-03-15,2370.34,2390.01,2368.94,2385.26,1051135929
2017-03-16,2387.71,2388.1,2377.18,2381.38,804297342
2017-03-17,2383.71,2385.71,2377.64,2378.25,3398204726
2017-03-20,2378.24,2379.55,2369.66,2373.47,748721673
2017-03-21,2379.32,2381.93,2341.9,2344.02,2637087666
2017-03-22,2343,2351.81,2336.45,2348.45,1064812901
2017-03-23,2345.97,2358.92,2342.13,2345.96,844974813
2017-03-24,2350.42,2356.22,2335.74,2343.98,846511854
2017-03-27,2329.11,2344.9,2322.25,2341.59,858018011
2017-03-28,2339.79,2363.78,2337.63,2358.57,877571724
2017-03-29,2356.54,2363.36,2352.94,2361.13,660401033
2017-03-30,2361.31,2370.42,2358.58,2368.06,775154439
2017-03-31,2364.82,2370.35,2362.6,2362.72,923302112
2017-04-03,2362.34,2365.87,2344.73,2358.84,2182258164
2017-04-04,2354.76,2360.53,2350.72,2360.16,746663640
2017-04-05,2366.59,2378.36,2350.52,2352.95,1031056095
2017-04-06,2353.79,2364.16,2348.9,2357.49,863231831
2017-04-07,2356.59,2363.76,2350.74,2355.54,656990521
2017-04-10,2357.16,2366.37,2351.5,2357.16,546587089
2017-04-11,2353.92,2355.22,2337.25,2353.78,743787790
2017-04-12,2352.15,2352.72,2341.18,2344.93,824168461
2017-04-13,2341.98,2348.26,2328.95,2328.95,691005538
2017-04-17,2332.62,2349.14,2332.51,2349.01,552521898
2017-04-18,2342.53,2348.35,2334.54,2342.19,829728921
2017-04-19,2346.79,2352.63,2335.05,2338.17,873090926
2017-04-20,2342.69,2361.37,2340.91,2355.84,1015974407
2017-04-21,2354.74,2356.18,2344.51,2348.69,2071759000
