Date,SP500_Close,XLY_Close,XLP_Close,XLE_Close,XLF_Close,XLV_Close,XLI_Close,XLB_Close,XLK_Close,XLU_Close,sp500_CHANGE,SP_rank
1/18/2017,2271.89,83.95,52.43,74.67,23.14,70.47,62.97,50.96,49.6,48.98,0.18%,383
1/19/2017,2263.69,83.69,52.24,74.26,23.04,70.02,63.43,50.64,49.53,48.55,-0.36%,116
1/20/2017,2271.31,83.93,52.58,74.54,23.15,69.84,63.44,51.09,49.8,48.64,0.34%,435
1/23/2017,2265.2,83.99,52.56,73.75,23,69.55,63.09,51.19,49.89,48.39,-0.27%,149
1/24/2017,2280.07,84.68,52.91,74.56,23.29,69.07,63.72,52.51,50.2,48.38,0.66%,512
1/25/2017,2298.37,85.2,52.9,74.95,23.68,69.72,64.39,52.86,50.68,48.38,0.80%,529
1/26/2017,2296.68,85.33,52.67,75.01,23.74,69.18,64.54,53,50.54,48.4,-0.07%,251
1/27/2017,2294.69,85.06,52.38,74.23,23.65,69.75,64.49,52.81,50.74,48.39,-0.09%,237
1/30/2017,2280.9,84.96,52.34,72.87,23.46,69.41,63.94,52.27,50.33,48.43,-0.60%,87
1/31/2017,2278.87,84.83,52.59,72.9,23.31,70.52,63.38,51.96,50.08,49.18,-0.09%,237
2/1/2017,2279.55,84.67,52.18,72.36,23.34,71.13,63.27,52.22,50.46,48.33,0.03%,302
2/2/2017,2280.85,84.6,52.66,72.77,23.25,71.11,63.15,51.99,50.36,48.84,0.06%,322
2/3/2017,2297.42,84.49,53,73.4,23.72,71.42,63.62,52.08,50.69,48.9,0.73%,518
2/6/2017,2292.56,84.24,52.71,72.78,23.61,71.5,63.71,51.94,50.72,48.8,-0.21%,172
2/7/2017,2293.08,84.16,53.14,71.75,23.55,71.57,63.82,51.53,50.92,48.92,0.02%,296
2/8/2017,2294.67,84.68,53.36,71.92,23.39,71.46,63.73,51.65,51.01,49.4,0.07%,332
2/9/2017,2307.87,85.21,53.58,72.73,23.71,71.72,64.22,51.63,51.17,48.98,0.58%,496
